title,content,label
"Government announces new rural health scheme","The health ministry announced a verified rural care scheme after cabinet approval. Officials released budget details and implementation timelines.",real
"Scientists publish climate research in peer reviewed journal","Researchers from multiple universities published a peer reviewed climate study with open data and transparent methodology.",real
"Election commission confirms final voting dates","The election commission issued an official notification listing polling dates counting schedules and security arrangements.",real
"Local school wins national innovation award","A government press note confirmed that a local school received a national innovation award for its low cost water testing project.",real
"Central bank keeps interest rate unchanged","The central bank kept the policy interest rate unchanged after reviewing inflation and growth data during its monetary policy meeting.",real
"Hospital opens new emergency ward","City hospital administrators opened a new emergency ward with additional beds trained staff and public funding support.",real
"Court releases written judgement in public case","The high court released a written judgement explaining the legal reasoning in a public interest case.",real
"University starts scholarship program","The university announced a scholarship program for first generation students with eligibility details published on its official website.",real
"Railway department adds festival special trains","The railway department added festival special trains on busy routes and published official ticket booking schedules.",real
"Weather department warns of heavy rainfall","The meteorological department issued a heavy rainfall warning based on satellite observations and regional forecast models.",real
"Secret miracle drink cures all diseases overnight","A viral message claims a secret miracle drink can cure every disease overnight without doctors or medicine.",fake
"Celebrity gives free phones to everyone who shares link","A social media post falsely claims that a celebrity is giving free phones to anyone who forwards an unknown link.",fake
"Government bans all bank accounts from tomorrow","A viral rumor claims every bank account will be banned tomorrow but provides no official source or notification.",fake
"Scientists discover aliens living under city mall","A fabricated article claims scientists found aliens under a shopping mall but cites no research institution or evidence.",fake
"Election result changed by hidden machine code","A misleading post claims hidden machine code changed election results while ignoring official audit and counting records.",fake
"Doctor says one leaf replaces all vaccines","A false health article claims one leaf can replace all vaccines and asks readers to buy an unverified supplement.",fake
"Breaking news moon will disappear next week","A fake astronomy post claims the moon will disappear next week despite no statement from any space agency.",fake
"Prime minister announces money for every forwarded message","A viral fake post claims citizens will receive money for every forwarded message if they register on an unknown website.",fake
"Bank warns customers to share passwords for verification","A fraudulent message says bank customers must share passwords for verification or their accounts will close.",fake
"Ancient coin found in backyard worth billions guaranteed","A clickbait story claims an ordinary backyard coin is guaranteed to be worth billions without expert verification.",fake
"Public transport app launches in metro city","The city transport authority launched a public app showing bus routes arrival times and ticket information.",real
"New crop insurance deadline announced","The agriculture department announced the crop insurance registration deadline and listed official help centers for farmers.",real
"Viral post says drinking petrol improves memory","A dangerous fake post claims drinking petrol improves memory and includes no medical evidence or verified source.",fake
"International agency publishes education report","An international agency published an education report using survey data school records and country level comparisons.",real
"Fake lottery message asks users to pay processing fee","A fake lottery message tells users they won a prize and must pay a processing fee through an unknown link.",fake

